AUC,Precision,Recall,TN,TP,accuracy,loss,val_AUC,val_Precision,val_Recall,val_TN,val_TP,val_accuracy,val_loss
0.5891686677932739,0.5016722679138184,0.13024601340293884,4549.0,450.0,0.5915276408195496,0.6653938293457031,0.6450495719909668,0.5911047458648682,0.24700239300727844,2210.0,412.0,0.6298342347145081,0.6437214016914368
0.628655195236206,0.560538113117218,0.28943559527397156,4212.0,1000.0,0.6167317628860474,0.6532217264175415,0.6575754880905151,0.5662959814071655,0.3968825042247772,1988.0,662.0,0.6365602016448975,0.6384167075157166
0.6494587659835815,0.5746031999588013,0.31432706117630005,4192.0,1086.0,0.6245414614677429,0.6458508372306824,0.6640410423278809,0.5374331474304199,0.6025179624557495,1630.0,1005.0,0.6329569816589355,0.6472818851470947
0.6611553430557251,0.5939213037490845,0.3450072407722473,4181.0,1192.0,0.6357827186584473,0.6412590146064758,0.6811519861221313,0.5931651592254639,0.43705037236213684,1995.0,729.0,0.6543357968330383,0.6319569945335388
0.6745460033416748,0.6048064231872559,0.3933429718017578,4108.0,1359.0,0.6469057202339172,0.632615327835083,0.6865302324295044,0.6633663177490234,0.12050359696149826,2393.0,201.0,0.6231083273887634,0.6311473250389099
0.6942042112350464,0.6222884058952332,0.4234442710876465,4108.0,1463.0,0.6592119336128235,0.6220632195472717,0.6946183443069458,0.6482939720153809,0.29616308212280273,2227.0,494.0,0.6536151766777039,0.6219847202301025
0.7067259550094604,0.6263822913169861,0.459044873714447,4050.0,1586.0,0.6669033169746399,0.6139019131660461,0.6972049474716187,0.5715116262435913,0.5893285274505615,1758.0,983.0,0.6584194302558899,0.6258558034896851
0.7251190543174744,0.6385409235954285,0.5015919208526611,4015.0,1733.0,0.6801561713218689,0.6009337306022644,0.7100034952163696,0.6565272212028503,0.31055155396461487,2224.0,518.0,0.6586596369743347,0.6369571685791016
0.738202691078186,0.6449170708656311,0.5178002715110779,4011.0,1789.0,0.6863093376159668,0.5918645262718201,0.6973824501037598,0.6453055143356323,0.25959232449531555,2257.0,433.0,0.6461686491966248,0.6367912888526917
0.7685084939002991,0.6616244912147522,0.5823444128036499,3967.0,2012.0,0.7074902653694153,0.5656910538673401,0.720079243183136,0.6325823068618774,0.4376498758792877,2071.0,730.0,0.6728320717811584,0.6064581871032715
0.78724604845047,0.6781683564186096,0.6086830496788025,3998.0,2103.0,0.7219263911247253,0.5464937686920166,0.7310463190078735,0.6205059885978699,0.5587530136108398,1925.0,932.0,0.6862839460372925,0.6053906083106995
0.8002386689186096,0.674362063407898,0.6425470113754272,3924.0,2220.0,0.7270145416259766,0.531026303768158,0.7400193214416504,0.6318597793579102,0.49700239300727844,2012.0,829.0,0.6824405193328857,0.6118545532226562
0.8227317333221436,0.6953681707382202,0.6778581738471985,3970.0,2342.0,0.7468938827514648,0.5050343871116638,0.7232332825660706,0.6072629690170288,0.5413669347763062,1911.0,903.0,0.6759548187255859,0.6035430431365967
0.8296698927879333,0.6972848176956177,0.698697566986084,3948.0,2414.0,0.7528102993965149,0.4990834593772888,0.7311304807662964,0.6080191731452942,0.6091127395629883,1840.0,1016.0,0.6860437393188477,0.6068743467330933
0.8446843028068542,0.7103368639945984,0.7140375971794128,3990.0,2467.0,0.764051616191864,0.47713905572891235,0.7303454875946045,0.5942028760910034,0.7128297090530396,1683.0,1189.0,0.6898871064186096,0.6453179121017456
0.8540959358215332,0.7104469537734985,0.7499276399612427,3940.0,2591.0,0.7728079557418823,0.4611591100692749,0.7367442846298218,0.6139410138130188,0.6864508390426636,1775.0,1145.0,0.7014172673225403,0.6063602566719055
0.8641563653945923,0.7195781469345093,0.7701881527900696,3959.0,2661.0,0.783339262008667,0.44834578037261963,0.7435141205787659,0.6198156476020813,0.6450839042663574,1835.0,1076.0,0.6992553472518921,0.6128057241439819
0.8690734505653381,0.7205647230148315,0.7829232811927795,3947.0,2705.0,0.7871257662773132,0.44034308195114136,0.7381733059883118,0.620058536529541,0.5077937841415405,1976.0,847.0,0.6781167387962341,0.6857578158378601
0.8791770935058594,0.7378901839256287,0.7936323881149292,4022.0,2742.0,0.800378680229187,0.4262445569038391,0.7383437156677246,0.6111751198768616,0.6360911130905151,1820.0,1061.0,0.6920490264892578,0.659308135509491
0.882398784160614,0.7345340847969055,0.8144717812538147,3979.0,2814.0,0.803810179233551,0.41781994700431824,0.7341844439506531,0.6098542213439941,0.7272182106971741,1719.0,1213.0,0.704299807548523,0.6527522802352905
