AUC,Precision,Recall,TN,TP,accuracy,loss,val_AUC,val_Precision,val_Recall,val_TN,val_TP,val_accuracy,val_loss
0.4905906915664673,0.35820895433425903,0.006946454290300608,4953.0,24.0,0.5889244079589844,0.6811848282814026,0.5542123317718506,0.0,0.0,2495.0,0.0,0.5993273854255676,0.6736186146736145
0.5286823511123657,0.0,0.0,4996.0,0.0,0.5911726355552673,0.6763760447502136,0.5357363820075989,0.0,0.0,2495.0,0.0,0.5993273854255676,0.6768946647644043
0.5539255142211914,0.6363636255264282,0.0020260491874068975,4992.0,7.0,0.5915276408195496,0.6717364192008972,0.5741609334945679,0.5,0.0017985611921176314,2492.0,3.0,0.5993273854255676,0.6683685779571533
0.5961896777153015,0.5384615659713745,0.024312591180205345,4924.0,84.0,0.5925925970077515,0.662152111530304,0.590617299079895,0.5272727012634277,0.017386091873049736,2469.0,29.0,0.6000480651855469,0.6655930280685425
0.6307189464569092,0.5668662786483765,0.08219970762729645,4779.0,284.0,0.5991007089614868,0.6492647528648376,0.6131632328033447,0.5080214142799377,0.11390887200832367,2311.0,190.0,0.6007686853408813,0.6603255867958069
0.6556481122970581,0.569242537021637,0.21534009277820587,4433.0,744.0,0.6125902533531189,0.635574221611023,0.6238742470741272,0.5492957830429077,0.23381294310092926,2175.0,390.0,0.616142213344574,0.6521868705749512
0.7260819673538208,0.6111111044883728,0.4839363098144531,3932.0,1672.0,0.6631168127059937,0.595750093460083,0.7230090498924255,0.6807065010070801,0.30035972595214844,2260.0,501.0,0.6632236242294312,0.653178334236145
0.7499203085899353,0.6358503699302673,0.521562933921814,3964.0,1802.0,0.6822861433029175,0.5784438252449036,0.7471436262130737,0.6239316463470459,0.6564748287200928,1835.0,1095.0,0.7038193345069885,0.6029006838798523
0.8097002506256104,0.6900995969772339,0.6819102764129639,3938.0,2356.0,0.7447639107704163,0.5272044539451599,0.6998026967048645,0.6348773837089539,0.4190647602081299,2093.0,699.0,0.670670211315155,0.6438325643539429
0.8650466203689575,0.7333691120147705,0.7913169264793396,4002.0,2734.0,0.7970654368400574,0.44392240047454834,0.8421677350997925,0.584187388420105,0.9568345546722412,1359.0,1596.0,0.7098246216773987,0.5525149703025818
0.8900501132011414,0.7430025339126587,0.845151960849762,3986.0,2920.0,0.817181408405304,0.3996877372264862,0.8532738089561462,0.7126556038856506,0.8237410187721252,1941.0,1374.0,0.7963007688522339,0.46425509452819824
0.9153553247451782,0.7733703851699829,0.8859623670578003,4099.0,3061.0,0.8472369909286499,0.35028892755508423,0.8718344569206238,0.744613766670227,0.8495203852653503,2009.0,1417.0,0.8229641914367676,0.43893003463745117
0.9275385141372681,0.7888637185096741,0.9062228798866272,4158.0,3131.0,0.8625015020370483,0.32229506969451904,0.882727324962616,0.7058023810386658,0.9334532618522644,1846.0,1557.0,0.8174393177032471,0.4263298511505127
0.9424015879631042,0.8028664588928223,0.9241678714752197,4212.0,3193.0,0.8762276768684387,0.2877974212169647,0.8830589652061462,0.7541322112083435,0.8752997517585754,2019.0,1460.0,0.8356953859329224,0.42379748821258545
0.9455007314682007,0.8084945678710938,0.9311143159866333,4234.0,3217.0,0.8816708326339722,0.27763834595680237,0.8957616686820984,0.7336778044700623,0.9364508390426636,1928.0,1562.0,0.8383377194404602,0.4153905510902405
0.9496781826019287,0.8182277083396912,0.9380607604980469,4276.0,3241.0,0.8894805312156677,0.2663876712322235,0.9052574634552002,0.7894737124443054,0.8543165326118469,2115.0,1425.0,0.8503482937812805,0.3920820653438568
0.9579395055770874,0.8230133056640625,0.950217068195343,4290.0,3283.0,0.8961069583892822,0.24656042456626892,0.906983494758606,0.7782994508743286,0.8944844007492065,2070.0,1492.0,0.8556329607963562,0.37540894746780396
0.9639819860458374,0.8265895843505859,0.9519537091255188,4306.0,3289.0,0.8987101912498474,0.22844365239143372,0.9120861291885376,0.7764289379119873,0.9202637672424316,2053.0,1535.0,0.8618784546852112,0.3598969876766205
0.9654086828231812,0.8328259587287903,0.950217068195343,4337.0,3283.0,0.9016684293746948,0.22522957623004913,0.8987089991569519,0.785365879535675,0.8687050342559814,2099.0,1449.0,0.8522700071334839,0.46214380860328674
0.9707939028739929,0.8425878882408142,0.9574529528617859,4378.0,3308.0,0.9094781875610352,0.2019360214471817,0.9069098830223083,0.7710402607917786,0.8842925429344177,2057.0,1475.0,0.8484266400337219,0.3804582357406616
