AUC,Precision,Recall,TN,TP,accuracy,loss,val_AUC,val_Precision,val_Recall,val_TN,val_TP,val_accuracy,val_loss
0.607577383518219,0.540930986404419,0.19507959485054016,4424.0,674.0,0.6032422184944153,0.6615779399871826,0.657789945602417,0.5814433097839355,0.3381294906139374,2089.0,564.0,0.6372808218002319,0.6383631229400635
0.6392878293991089,0.5768292546272278,0.27380606532096863,4302.0,946.0,0.620991587638855,0.6482132077217102,0.6498090028762817,0.5021623969078064,0.626498818397522,1459.0,1045.0,0.6014893054962158,0.6614109873771667
0.6525118947029114,0.5782960653305054,0.3516642451286316,4110.0,1215.0,0.6301029324531555,0.6423941254615784,0.6858488321304321,0.5878986120223999,0.4310551583766937,1991.0,719.0,0.650972843170166,0.6228315234184265
0.6750357151031494,0.5948845148086548,0.4173661470413208,4014.0,1442.0,0.6456040740013123,0.6337780952453613,0.6910743713378906,0.6637167930603027,0.08992806077003479,2419.0,150.0,0.6171030402183533,0.6357680559158325
0.6895332932472229,0.6045958995819092,0.4416787326335907,3998.0,1526.0,0.6536504626274109,0.6245772242546082,0.7259032726287842,0.6112211346626282,0.555155873298645,1906.0,926.0,0.6802786588668823,0.6095298528671265
0.7172718644142151,0.631538450717926,0.47525325417518616,4038.0,1642.0,0.6721097826957703,0.6074874401092529,0.7324542999267578,0.6136054396629333,0.5407673716545105,1927.0,902.0,0.6795580387115479,0.6015576720237732
0.7449325323104858,0.6538597345352173,0.5369030237197876,4014.0,1855.0,0.6944740414619446,0.588259220123291,0.7494714260101318,0.6282208561897278,0.6139088869094849,1889.0,1024.0,0.6997357606887817,0.5794811248779297
0.770740807056427,0.6549361348152161,0.6086830496788025,3888.0,2103.0,0.7089101672172546,0.5640368461608887,0.7698767781257629,0.6656176447868347,0.5071942210197449,2070.0,846.0,0.7004563808441162,0.567938506603241
0.7913094162940979,0.6823047995567322,0.6272069215774536,3987.0,2167.0,0.7281978726387024,0.5466065406799316,0.7869473695755005,0.6700572371482849,0.6318944692611694,1976.0,1054.0,0.7278404831886292,0.5470153093338013
0.8216632604598999,0.6966770887374878,0.7099855542182922,3928.0,2453.0,0.7550585865974426,0.512790322303772,0.8137889504432678,0.6553471684455872,0.7751798629760742,1815.0,1293.0,0.7465769648551941,0.5165467262268066
0.8477796912193298,0.7154160737991333,0.7589001655578613,3953.0,2622.0,0.7780144214630127,0.47478193044662476,0.8472433090209961,0.7553542256355286,0.5497601628303528,2198.0,917.0,0.7482584714889526,0.5226506590843201
0.8796005845069885,0.7449841499328613,0.8167872428894043,4030.0,2822.0,0.8107916116714478,0.4275972247123718,0.8864981532096863,0.7410668134689331,0.8579136729240417,1995.0,1431.0,0.8229641914367676,0.3993981182575226
0.9108063578605652,0.7664346694946289,0.8604920506477356,4090.0,2973.0,0.8357591032981873,0.3668047785758972,0.902727484703064,0.7987763285636902,0.7044364213943481,2199.0,1175.0,0.8104732036590576,0.4138476550579071
0.9244544506072998,0.7813693284988403,0.8885672688484192,4137.0,3070.0,0.8527984619140625,0.3368644416332245,0.9291787147521973,0.774485170841217,0.9244604110717773,2046.0,1542.0,0.8618784546852112,0.31694528460502625
0.9412270784378052,0.7942957878112793,0.9108538627624512,4181.0,3147.0,0.8671163320541382,0.29636695981025696,0.9332458972930908,0.8219512104988098,0.8081534504890442,2203.0,1348.0,0.8529906272888184,0.32866010069847107
0.9534436464309692,0.8170918226242065,0.9270622134208679,4279.0,3203.0,0.8853390216827393,0.2628442049026489,0.9400355815887451,0.7732108235359192,0.9586330652236938,2026.0,1599.0,0.870766282081604,0.2950107753276825
0.9599192142486572,0.8240528702735901,0.9380607604980469,4304.0,3241.0,0.8927937746047974,0.2464628666639328,0.9304113388061523,0.826339602470398,0.7673860788345337,2226.0,1280.0,0.8421811461448669,0.37134748697280884
0.9619746804237366,0.8311180472373962,0.9230101108551025,4348.0,3189.0,0.8918471336364746,0.2408595234155655,0.9495169520378113,0.8047155141830444,0.9412469863891602,2114.0,1570.0,0.8849387168884277,0.26011982560157776
0.9672167301177979,0.8387096524238586,0.9406657218933105,4371.0,3250.0,0.901786744594574,0.22119349241256714,0.9510047435760498,0.8006992936134338,0.9610311985015869,2096.0,1603.0,0.8885419368743896,0.26716622710227966
0.9671828150749207,0.837071418762207,0.9397974014282227,4364.0,3247.0,0.9006034731864929,0.22249799966812134,0.9487049579620361,0.7990936636924744,0.951438844203949,2096.0,1587.0,0.8846985101699829,0.2772687077522278
