accuracy,auc_3,loss,precision_3,recall_3,val_accuracy,val_auc_3,val_loss,val_precision_3,val_recall_3
0.48507463932037354,0.4937313497066498,0.6966001391410828,0.48507463932037354,0.48507463932037354,0.5,0.5,0.6938029527664185,0.5,0.5
0.5,0.48696812987327576,0.6949106454849243,0.5,0.5,0.5,0.5,0.6932660341262817,0.5,0.5
0.4701492488384247,0.47655603289604187,0.6935650110244751,0.4701492488384247,0.4701492488384247,0.5,0.5,0.6931388974189758,0.5,0.5
0.5,0.48025503754615784,0.6932941675186157,0.5,0.5,0.5,0.5,0.6931319832801819,0.5,0.5
0.4686567187309265,0.4713967442512512,0.693511962890625,0.4686567187309265,0.4686567187309265,0.5,0.5,0.6931179761886597,0.5,0.5
0.5014925599098206,0.5,0.6931664347648621,0.5014925599098206,0.5014925599098206,0.5,0.5,0.6931138634681702,0.5,0.5
0.5,0.5,0.6931477785110474,0.5,0.5,0.5,0.5,0.6930968165397644,0.5,0.5
0.5,0.5,0.6931301355361938,0.5,0.5,0.5,0.5,0.6930723190307617,0.5,0.5
0.5238806009292603,0.5,0.6931555271148682,0.5238806009292603,0.5238806009292603,0.5,0.5,0.6930491328239441,0.5,0.5
0.5208955407142639,0.5102684497833252,0.6931179165840149,0.5208955407142639,0.5208955407142639,0.5,0.5538245439529419,0.693019449710846,0.5,0.5
0.5,0.49383828043937683,0.6932974457740784,0.5,0.5,0.5,0.5,0.6930093169212341,0.5,0.5
0.5223880410194397,0.5,0.6930665969848633,0.5223880410194397,0.5223880410194397,0.5696969628334045,0.5,0.6929559111595154,0.5696969628334045,0.5696969628334045
0.46268656849861145,0.5161360502243042,0.6931936740875244,0.46268656849861145,0.46268656849861145,0.596969723701477,0.5,0.6928997039794922,0.596969723701477,0.596969723701477
0.5432835817337036,0.5196791887283325,0.6928824186325073,0.5432835817337036,0.5432835817337036,0.5,0.5351561307907104,0.6927847862243652,0.5,0.5
0.5179104208946228,0.5368099808692932,0.6928495764732361,0.5179104208946228,0.5179104208946228,0.5,0.5547658801078796,0.6926099061965942,0.5,0.5
0.5537313222885132,0.5211717486381531,0.6927566528320312,0.5537313222885132,0.5537313222885132,0.5151515007019043,0.5434343218803406,0.6924723386764526,0.5151515007019043,0.5151515007019043
0.5268656611442566,0.5482913851737976,0.6925851702690125,0.5268656611442566,0.5268656611442566,0.5303030014038086,0.550197422504425,0.6920545697212219,0.5303030014038086,0.5303030014038086
0.579104483127594,0.5470783710479736,0.6921457052230835,0.579104483127594,0.579104483127594,0.5303030014038086,0.5725069046020508,0.6915991902351379,0.5303030014038086,0.5303030014038086
0.5179104208946228,0.54495769739151,0.6913037896156311,0.5179104208946228,0.5179104208946228,0.5636363625526428,0.5907024145126343,0.6906288862228394,0.5636363625526428,0.5636363625526428
0.5552238821983337,0.5488628149032593,0.6913875937461853,0.5552238821983337,0.5552238821983337,0.5333333611488342,0.5697475075721741,0.6900739669799805,0.5333333611488342,0.5333333611488342
0.5671641826629639,0.5685297250747681,0.6895408630371094,0.5671641826629639,0.5671641826629639,0.5333333611488342,0.5724242925643921,0.6880475282669067,0.5333333611488342,0.5333333611488342
0.579104483127594,0.5833381414413452,0.686871349811554,0.579104483127594,0.579104483127594,0.5727272629737854,0.6123737692832947,0.6836540102958679,0.5727272629737854,0.5727272629737854
0.579104483127594,0.6039485931396484,0.6819153428077698,0.579104483127594,0.579104483127594,0.5878787636756897,0.6223415732383728,0.678732693195343,0.5878787636756897,0.5878787636756897
0.5776119232177734,0.5958576202392578,0.6806464195251465,0.5776119232177734,0.5776119232177734,0.5696969628334045,0.6080808043479919,0.6779708862304688,0.5696969628334045,0.5696969628334045
0.5701492428779602,0.6123123168945312,0.6756525039672852,0.5701492428779602,0.5701492428779602,0.5757575631141663,0.6158126592636108,0.6739657521247864,0.5757575631141663,0.5757575631141663
0.579104483127594,0.6193562150001526,0.6722884774208069,0.579104483127594,0.579104483127594,0.5909090638160706,0.6262810230255127,0.6707471609115601,0.5909090638160706,0.5909090638160706
0.579104483127594,0.6163321733474731,0.6726647019386292,0.579104483127594,0.579104483127594,0.581818163394928,0.6107208132743835,0.6752285957336426,0.581818163394928,0.581818163394928
0.5746268630027771,0.6154265999794006,0.6728612184524536,0.5746268630027771,0.5746268630027771,0.581818163394928,0.629550039768219,0.6687415242195129,0.581818163394928,0.581818163394928
