loss,accuracy,AUC,Precision,Recall,TP,TN,val_loss,val_accuracy,val_AUC,val_Precision,val_Recall,val_TP,val_TN
0.742752730846405,0.5597015023231506,0.5462653040885925,0.5892857313156128,0.47826087474823,33.0,42.0,0.6948131322860718,0.469696968793869,0.44838711619377136,0.469696968793869,1.0,31.0,0.0
0.693867564201355,0.5149253606796265,0.44024524092674255,0.5149253606796265,1.0,69.0,0.0,0.6940340399742126,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6934477686882019,0.5149253606796265,0.4567447006702423,0.5149253606796265,1.0,69.0,0.0,0.6936942338943481,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6927566528320312,0.5149253606796265,0.49074694514274597,0.5149253606796265,1.0,69.0,0.0,0.6939435005187988,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6924906969070435,0.5149253606796265,0.5063544511795044,0.5149253606796265,1.0,69.0,0.0,0.6943688988685608,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6930561661720276,0.5149253606796265,0.4843924045562744,0.5149253606796265,1.0,69.0,0.0,0.6947017908096313,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6934219598770142,0.5149253606796265,0.4598662257194519,0.5149253606796265,1.0,69.0,0.0,0.6944332122802734,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.69271320104599,0.5149253606796265,0.5085841417312622,0.5149253606796265,1.0,69.0,0.0,0.6943717002868652,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.693524181842804,0.5149253606796265,0.43199554085731506,0.5149253606796265,1.0,69.0,0.0,0.6942389011383057,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6940193176269531,0.5149253606796265,0.4303233027458191,0.5149253606796265,1.0,69.0,0.0,0.6943138837814331,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6917844414710999,0.5149253606796265,0.6387959718704224,0.5149253606796265,1.0,69.0,0.0,0.6945047974586487,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.69261234998703,0.5149253606796265,0.5457079410552979,0.5149253606796265,1.0,69.0,0.0,0.6942169666290283,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6923423409461975,0.5074626803398132,0.5260869264602661,0.5114504098892212,0.9710144996643066,67.0,1.0,0.6943018436431885,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6930418610572815,0.5298507213592529,0.4843924343585968,0.5230769515037537,0.9855072498321533,68.0,3.0,0.6943337321281433,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6942100524902344,0.49253731966018677,0.4244146943092346,0.5040000081062317,0.9130434989929199,63.0,3.0,0.6944288015365601,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6932904720306396,0.5149253606796265,0.44927534461021423,0.5149253606796265,1.0,69.0,0.0,0.694121241569519,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6929574012756348,0.5149253606796265,0.5125975608825684,0.5149253606796265,1.0,69.0,0.0,0.6944081783294678,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6924090385437012,0.5149253606796265,0.5612040162086487,0.5149253606796265,1.0,69.0,0.0,0.694577157497406,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6925273537635803,0.5149253606796265,0.4960981011390686,0.5149253606796265,1.0,69.0,0.0,0.6947145462036133,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
0.6933692693710327,0.5149253606796265,0.46989965438842773,0.5149253606796265,1.0,69.0,0.0,0.6948094964027405,0.469696968793869,0.5,0.469696968793869,1.0,31.0,0.0
