loss,accuracy,AUC,Precision,Recall,TP,TN,val_loss,val_accuracy,val_AUC,val_Precision,val_Recall,val_TP,val_TN
0.6690934300422668,0.5888059735298157,0.6566159725189209,0.5719696879386902,0.6812030076980591,453.0,336.0,0.6045602560043335,0.6621212363243103,0.7443949580192566,0.7616822719573975,0.4865671694278717,163.0,274.0
0.5768934488296509,0.6985074877738953,0.7641938328742981,0.7010785937309265,0.6842105388641357,455.0,481.0,0.6161566376686096,0.6499999761581421,0.7823789119720459,0.8661971688270569,0.36716416478157043,123.0,306.0
0.5476906299591064,0.7246268391609192,0.7966761589050293,0.7402597665786743,0.6857143044471741,456.0,515.0,0.5327931046485901,0.7318181991577148,0.8375155329704285,0.688095211982727,0.8626865744590759,289.0,194.0
0.5205002427101135,0.7477611899375916,0.8241860270500183,0.7527047991752625,0.7323307991027832,487.0,515.0,0.5134885311126709,0.7742424011230469,0.8510494232177734,0.7627118825912476,0.8059701323509216,270.0,241.0
0.49437201023101807,0.7604477405548096,0.8437994718551636,0.7621951103210449,0.7518796920776367,500.0,519.0,0.4853171706199646,0.7787878513336182,0.8671871423721313,0.7707736492156982,0.8029850721359253,269.0,245.0
0.4631125032901764,0.782835841178894,0.8673650026321411,0.8006430864334106,0.7488721609115601,498.0,551.0,0.5142541527748108,0.7848485112190247,0.8661905527114868,0.7519582509994507,0.8597015142440796,288.0,230.0
0.43677031993865967,0.7947761416435242,0.8779659867286682,0.8056426048278809,0.7729323506355286,514.0,551.0,0.5060287714004517,0.7787878513336182,0.8546865582466125,0.8247422575950623,0.7164179086685181,240.0,274.0
0.4257429838180542,0.8037313222885132,0.8871712684631348,0.8036254048347473,0.800000011920929,532.0,545.0,0.4541493356227875,0.7878788113594055,0.8694649934768677,0.800000011920929,0.7761194109916687,260.0,260.0
0.3672938048839569,0.8425372838973999,0.9185563921928406,0.8524844646453857,0.825563907623291,549.0,580.0,0.5201144814491272,0.7803030014038086,0.8726521730422974,0.7351484894752502,0.8865671753883362,297.0,218.0
0.3385886549949646,0.8589552044868469,0.9302957653999329,0.8617021441459656,0.8526315689086914,567.0,584.0,0.44036930799484253,0.7954545617103577,0.8811711072921753,0.7890173196792603,0.8149253726005554,273.0,252.0
0.30955830216407776,0.8694030046463013,0.9420450925827026,0.8746177554130554,0.8601503968238831,572.0,593.0,0.5038111209869385,0.7924242615699768,0.8785304427146912,0.8256579041481018,0.7492537498474121,251.0,272.0
0.2660677433013916,0.8895522356033325,0.9568799734115601,0.8910741209983826,0.8857142925262451,589.0,603.0,0.49205854535102844,0.8090909123420715,0.8872469067573547,0.8471760749816895,0.7611940503120422,255.0,279.0
0.23216666281223297,0.891791045665741,0.9667958617210388,0.9037266969680786,0.8751879930496216,582.0,613.0,0.49218034744262695,0.8015151619911194,0.8828243613243103,0.7982456088066101,0.8149253726005554,273.0,256.0
0.2291429042816162,0.908208966255188,0.9681949615478516,0.9143730998039246,0.8992481231689453,598.0,619.0,0.5275826454162598,0.7848485112190247,0.8815843462944031,0.7643835544586182,0.8328357934951782,279.0,239.0
0.20820924639701843,0.9179104566574097,0.9737855195999146,0.9160419702529907,0.9187970161437988,611.0,619.0,0.5262349247932434,0.8045454621315002,0.88434898853302,0.8388158082962036,0.7611940503120422,255.0,276.0
0.17432160675525665,0.9291045069694519,0.9816530346870422,0.9305136203765869,0.9263157844543457,616.0,629.0,0.6517816185951233,0.800000011920929,0.8795362114906311,0.7976539731025696,0.8119403123855591,272.0,256.0
0.17287999391555786,0.9291045069694519,0.9819504618644714,0.9318181872367859,0.9248120188713074,615.0,630.0,0.5870969295501709,0.7954545617103577,0.8793845772743225,0.7976190447807312,0.800000011920929,268.0,257.0
0.16036014258861542,0.9343283772468567,0.984513521194458,0.9364598989486694,0.9308270812034607,619.0,633.0,0.5792280435562134,0.800000011920929,0.8888037204742432,0.7875354290008545,0.8298507332801819,278.0,250.0
0.13925980031490326,0.9455223679542542,0.9879621267318726,0.9484848380088806,0.9413533806800842,626.0,641.0,0.6464455127716064,0.8060606122016907,0.8871595859527588,0.8089552521705627,0.8089552521705627,271.0,261.0
0.14144977927207947,0.9492537379264832,0.9867557883262634,0.9502262473106384,0.9473684430122375,630.0,642.0,0.6308791041374207,0.8045454621315002,0.8771297335624695,0.7926136255264282,0.8328357934951782,279.0,252.0
