loss,accuracy,AUC,Precision,Recall,TP,TN,val_loss,val_accuracy,val_AUC,val_Precision,val_Recall,val_TP,val_TN
0.6769485473632812,0.5888059735298157,0.6104260683059692,0.594059407711029,0.5413534045219421,360.0,429.0,0.6280701160430908,0.6469696760177612,0.7128357887268066,0.6734693646430969,0.5910447835922241,198.0,229.0
0.6589690446853638,0.6328358054161072,0.6640356779098511,0.6233951449394226,0.6571428775787354,437.0,411.0,0.6129734516143799,0.6757575869560242,0.7699196338653564,0.634743869304657,0.8507462739944458,285.0,161.0
0.605583906173706,0.6932835578918457,0.7396090030670166,0.6824712753295898,0.7142857313156128,475.0,454.0,0.6193110346794128,0.6363636255264282,0.7926658987998962,0.5891181826591492,0.937313437461853,314.0,106.0
0.5814386606216431,0.6910447478294373,0.7634809017181396,0.6693657040596008,0.7458646893501282,496.0,430.0,0.539161741733551,0.7424242496490479,0.8114672899246216,0.7235772609710693,0.7970149517059326,267.0,223.0
0.5561856627464294,0.7216417789459229,0.792647123336792,0.709770143032074,0.7428571581840515,494.0,473.0,0.5348015427589417,0.7484848499298096,0.8160413503646851,0.7206266522407532,0.8238806128501892,276.0,218.0
0.5267273783683777,0.7388059496879578,0.814138650894165,0.7340267300605774,0.7428571581840515,494.0,496.0,0.5381900668144226,0.7484848499298096,0.8132767081260681,0.7435158491134644,0.7701492309570312,258.0,236.0
0.490268349647522,0.7611940503120422,0.8438685536384583,0.7489177584648132,0.7804511189460754,519.0,501.0,0.568934977054596,0.75,0.8169782161712646,0.7639751434326172,0.7343283295631409,246.0,249.0
0.470950186252594,0.7753731608390808,0.8575226664543152,0.7861635088920593,0.7518796920776367,500.0,539.0,0.5342212915420532,0.7545454502105713,0.8235775232315063,0.7450425028800964,0.7850746512413025,263.0,235.0
0.4198875427246094,0.7962686419487,0.887300431728363,0.7978723645210266,0.7894737124443054,525.0,542.0,0.5325249433517456,0.7742424011230469,0.8347784280776978,0.7818182110786438,0.7701492309570312,258.0,253.0
0.3905543088912964,0.812686562538147,0.9043965935707092,0.8145896792411804,0.8060150146484375,536.0,553.0,0.5358121991157532,0.7696969509124756,0.8273432850837708,0.7548746466636658,0.8089552521705627,271.0,237.0
0.36055248975753784,0.8552238941192627,0.9219749569892883,0.8662519454956055,0.8375939726829529,557.0,589.0,0.5725735425949097,0.7454545497894287,0.8129276633262634,0.7889273166656494,0.6805970072746277,228.0,264.0
0.30235710740089417,0.8716418147087097,0.9436870217323303,0.8786482214927673,0.8601503968238831,572.0,596.0,0.6168181896209717,0.7545454502105713,0.8212904930114746,0.7566765546798706,0.7611940503120422,255.0,243.0
0.2903260290622711,0.8649253845214844,0.9483675360679626,0.8769470453262329,0.8466165661811829,563.0,596.0,0.6287456154823303,0.7378787994384766,0.8155958652496338,0.7718120813369751,0.6865671873092651,230.0,257.0
0.2436457872390747,0.9074627161026001,0.964448869228363,0.9180834889411926,0.893233060836792,594.0,622.0,0.6211936473846436,0.7560606002807617,0.8222042918205261,0.7843137383460999,0.7164179086685181,240.0,259.0
0.2395404875278473,0.8970149159431458,0.9654024243354797,0.901065468788147,0.8902255892753601,592.0,610.0,0.6553474068641663,0.7454545497894287,0.8228978514671326,0.740634024143219,0.7671641707420349,257.0,235.0
0.20385126769542694,0.9164178967475891,0.9751790165901184,0.923430323600769,0.9067668914794922,603.0,625.0,0.7427472472190857,0.7515151500701904,0.8237566351890564,0.738161563873291,0.7910447716712952,265.0,231.0
0.1980651617050171,0.9238805770874023,0.975665807723999,0.925869882106781,0.9203007221221924,612.0,626.0,0.7898150682449341,0.7636363506317139,0.8266957998275757,0.7564470171928406,0.7880597114562988,264.0,240.0
0.17849557101726532,0.9291045069694519,0.9804210662841797,0.9357798099517822,0.9203007221221924,612.0,633.0,0.986033022403717,0.7530303001403809,0.8208587765693665,0.7299465537071228,0.8149253726005554,273.0,224.0
0.14853115379810333,0.9440298676490784,0.9866778254508972,0.9402984976768494,0.9473684430122375,630.0,635.0,0.9303848743438721,0.75,0.8090608716011047,0.7514792680740356,0.7582089304924011,254.0,241.0
0.14499613642692566,0.9455223679542542,0.9880623817443848,0.9484848380088806,0.9413533806800842,626.0,641.0,0.9974880218505859,0.7530303001403809,0.8154579997062683,0.7756410241127014,0.7223880887031555,242.0,255.0
