AUC,Precision,Recall,TN,TP,accuracy,loss,val_AUC,val_Precision,val_Recall,val_TN,val_TP,val_accuracy,val_loss
0.5009428262710571,0.3103448152542114,0.0021797046065330505,5942.0,9.0,0.5897334218025208,0.6798471808433533,0.5102425813674927,0.0,0.0,1529.0,0.0,0.6060245633125305,0.6722239851951599
0.4942508339881897,0.3333333432674408,0.0004843787755817175,5958.0,2.0,0.5906252861022949,0.6793731451034546,0.49768659472465515,0.0,0.0,1529.0,0.0,0.6060245633125305,0.6718398332595825
0.49382346868515015,0.0,0.0,5962.0,0.0,0.5908235311508179,0.6789286136627197,0.5011938810348511,0.0,0.0,1529.0,0.0,0.6060245633125305,0.6715218424797058
0.5059976577758789,0.5333333611488342,0.00193751510232687,5955.0,8.0,0.5909225940704346,0.677942156791687,0.5294526815414429,0.42424243688583374,0.014084506779909134,1510.0,14.0,0.6040428280830383,0.6742843985557556
0.5443019270896912,0.5048543810844421,0.012593848630785942,5911.0,52.0,0.5909225940704346,0.6728900074958801,0.5417547821998596,0.3636363744735718,0.0040241447277367115,1522.0,4.0,0.6048355102539062,0.6676306128501892
0.5568225383758545,0.5691056847572327,0.033906515687704086,5856.0,140.0,0.5941928625106812,0.6696761846542358,0.5420219302177429,0.375,0.01509054284542799,1504.0,15.0,0.6020610332489014,0.6685633063316345
0.5883355140686035,0.5714285969734192,0.0687817856669426,5749.0,284.0,0.5978595018386841,0.6622971296310425,0.5537778735160828,0.4333333373069763,0.03923541307449341,1478.0,39.0,0.6012683510780334,0.6703029870986938
0.6149030327796936,0.5852391123771667,0.13635262846946716,5563.0,563.0,0.6070756316184998,0.6511557102203369,0.5683518648147583,0.44131454825401306,0.09456740319728851,1410.0,94.0,0.5961157083511353,0.6737247109413147
0.6426642537117004,0.6029090881347656,0.20077501237392426,5416.0,829.0,0.6188682913780212,0.6390104293823242,0.5806355476379395,0.4548022747039795,0.1619718372821808,1336.0,161.0,0.5933412313461304,0.682113766670227
0.6743806600570679,0.618324875831604,0.2664083242416382,5283.0,1100.0,0.6325438618659973,0.6270121932029724,0.5978391170501709,0.47386759519577026,0.1368209272623062,1378.0,136.0,0.6000792980194092,0.6675143241882324
0.7032324075698853,0.6364871263504028,0.3405182957649231,5159.0,1406.0,0.6505797505378723,0.6106983423233032,0.6087269186973572,0.48170730471611023,0.1589537262916565,1359.0,158.0,0.6012683510780334,0.6971596479415894
0.7278928756713867,0.6415021419525146,0.4013078212738037,5036.0,1657.0,0.663264274597168,0.5929506421089172,0.6118700504302979,0.48596492409706116,0.2786720395088196,1236.0,277.0,0.5996829271316528,0.6989535689353943
0.752829909324646,0.6721368432044983,0.4662145674228668,5023.0,1925.0,0.6885343194007874,0.5738454461097717,0.6254768967628479,0.5,0.29979878664016724,1231.0,298.0,0.6060245633125305,0.706114649772644
0.7693029046058655,0.6727622747421265,0.507871150970459,4942.0,2097.0,0.6975522637367249,0.5609560608863831,0.6305791139602661,0.5086888074874878,0.3239436745643616,1218.0,322.0,0.610384464263916,0.7285768985748291
0.7913837432861328,0.6951740980148315,0.5512230396270752,4964.0,2276.0,0.7174710035324097,0.5397108793258667,0.6370577812194824,0.5148147940635681,0.4195170998573303,1136.0,417.0,0.6155370473861694,0.7246153354644775
0.8080581426620483,0.701549232006073,0.5812545418739319,4941.0,2400.0,0.7274799346923828,0.5232082605361938,0.6350558996200562,0.5083892345428467,0.3048289716243744,1236.0,303.0,0.6099880933761597,0.7434913516044617
0.8227144479751587,0.7176269292831421,0.6093485355377197,4972.0,2516.0,0.7420473694801331,0.5084115862846375,0.6375407576560974,0.5211678743362427,0.35915493965148926,1201.0,357.0,0.6175188422203064,0.7399641275405884
0.8376816511154175,0.7238223552703857,0.6512472629547119,4936.0,2689.0,0.7556238174438477,0.4885263442993164,0.6447767019271851,0.5147727131843567,0.45573440194129944,1102.0,453.0,0.6163297891616821,0.7868382930755615
0.8464173674583435,0.7298941612243652,0.6682005524635315,4941.0,2759.0,0.7630561590194702,0.47575944662094116,0.6414217352867126,0.5138248801231384,0.4486921429634094,1107.0,446.0,0.6155370473861694,0.7838775515556335
0.850570559501648,0.7352320551872253,0.6752240061759949,4958.0,2788.0,0.7676147222518921,0.47027552127838135,0.6450856328010559,0.5226824283599854,0.5331991910934448,1045.0,530.0,0.6242568492889404,0.8014333844184875
